OBJECTID	tract	SHAPE_Length	SHAPE_Area	Tract_1	Population
127	6073002804	0.046758	0.000139	6073002804	4477
128	6073002902	0.06245	0.000154	6073002902	5219
129	6073002903	0.047594	0.000131	6073002903	3711
130	6073002904	0.058937	0.000178	6073002904	6704
131	6073002905	0.056982	0.000106	6073002905	3794
132	6073003001	0.066262	0.000224	6073003001	3967
133	6073003003	0.101237	0.000312	6073003003	4835
134	6073003004	0.058787	0.000119	6073003004	4813
135	6073003101	0.042439	0.0001	6073003101	3718
136	6073003103	0.066285	0.000197	6073003103	6159
137	6073003105	0.046407	0.000116	6073003105	4167
138	6073003107	0.069828	0.000151	6073003107	5852
139	6073003108	0.048917	0.000104	6073003108	3697
140	6073003109	0.047643	0.000103	6073003109	3697
141	6073003111	0.082481	0.000141	6073003111	6186
142	6073003112	0.051652	0.000145	6073003112	4484
143	6073003113	0.063369	0.000146	6073003113	5302
144	6073003114	0.047983	0.000109	6073003114	3566
145	6073003115	0.065099	0.000147	6073003115	6865
146	6073003201	0.065024	0.000162	6073003201	5457
147	6073003202	0.058272	0.000124	6073003202	4547
148	6073003204	0.077971	0.000331	6073003204	3168
149	6073003207	0.120464	0.000524	6073003207	5689
150	6073003208	0.052226	0.000131	6073003208	7218
151	6073003209	0.055649	0.000134	6073003209	5376
152	6073003211	0.048278	0.000078	6073003211	3108
153	6073003212	0.057642	0.000131	6073003212	4079
154	6073003213	0.041601	0.000107	6073003213	4513
155	6073003214	0.060523	0.000128	6073003214	4644
156	6111007503	0.399431	0.005109	6111007503	5656
157	6111007604	0.677861	0.010309	6111007604	8874
158	6111007903	0.07444	0.000286	6111007903	2747
159	6111008302	0.058651	0.000184	6111008302	5464
160	6111008303	0.058795	0.0001	6111008303	3276
161	6111008304	0.1114	0.00035	6111008304	4857
162	6111008305	0.201776	0.001933	6111008305	2467
163	6111008306	0.052664	0.000137	6111008306	3799
164	6111008402	0.263099	0.003179	6111008402	4498
165	6111008500	0.474142	0.004744	6111008500	7190
166	6065043404	0.046495	0.000116	6065043404	2401
167	6065043405	0.067012	0.000168	6065043405	3870
168	6065043503	0.077858	0.000268	6065043503	4361
169	6065043504	0.156242	0.001277	6065043504	3813
170	6065043505	0.046896	0.000129	6065043505	2810
171	6065043506	0.110808	0.000477	6065043506	2844
172	6065043507	0.094294	0.000472	6065043507	5056
173	6065043508	0.159672	0.000646	6065043508	5050
174	6065043509	0.128119	0.000829	6065043509	4153
175	6065043510	0.555329	0.007291	6065043510	5378
176	6037139501	0.032555	0.000063	6037139501	7987
177	6037139502	0.054021	0.000104	6037139502	2887
178	6037139600	0.062725	0.000243	6037139600	4547
179	6037181000	0.118964	0.000403	6037181000	6134
180	6037181300	0.067565	0.000144	6037181300	3771
181	6037181400	0.045797	0.000085	6037181400	4439
182	6037181500	0.05378	0.000105	6037181500	3891
183	6037181600	0.056208	0.000154	6037181600	5662
184	6037183101	0.050877	0.000095	6037183101	3998
185	6037183102	0.054222	0.000132	6037183102	6132
186	6037183210	0.058333	0.000121	6037183210	5663
187	6037183220	0.040463	0.000052	6037183220	4363
188	6037183300	0.037466	0.000085	6037183300	4897
189	6037183400	0.040846	0.000073	6037183400	4127
190	6037183510	0.032402	0.00005	6037183510	2900
191	6037183520	0.028401	0.000041	6037183520	4138
192	6037183610	0.028621	0.000037	6037183610	3729
193	6037183620	0.028927	0.000049	6037183620	3316
194	6037183700	0.057367	0.000139	6037183700	6422
195	6037183810	0.031346	0.000044	6037183810	4582
196	6037183820	0.031326	0.00003	6037183820	3784
197	6037185100	0.073985	0.000223	6037185100	6159
198	6037185201	0.063325	0.000147	6037185201	5308
199	6037185202	0.050039	0.000115	6037185202	3827
200	6037185310	0.037179	0.000041	6037185310	3364
201	6037554515	0.049212	0.000117	6037554515	3669
202	6037554516	0.063346	0.000145	6037554516	4524
203	6037554517	0.049421	0.000128	6037554517	4924
204	6037554518	0.064465	0.000176	6037554518	5329
205	6037554519	0.060212	0.000171	6037554519	3649
206	6037554521	0.114549	0.000483	6037554521	6136
207	6037554522	0.063087	0.000208	6037554522	5413
208	6037554600	0.044062	0.0001	6037554600	3979
209	6037554700	0.043009	0.000077	6037554700	4812
210	6037554801	0.046718	0.000086	6037554801	3749
211	6037554802	0.061422	0.000151	6037554802	5945
212	6037554900	0.07933	0.00017	6037554900	6686
213	6037555001	0.05447	0.000128	6037555001	5587
214	6037555102	0.048767	0.000143	6037555102	6625
